idPiece;idProjet;idEtage;nomPiece;vue;xPlan;yPlan;largeurPlan;hauteurPlan;largeurMetres;longueurMetres;hauteurMetres;surfaceSol;surfaceMurs;surfacePlafond;idRevetementMur;idRevetementSol;idRevetementPlafond;devisMurs;devisSol;devisPlafond;devisTotal;nbFenetre;nbPorte;nbTremie;largeurTremie;longueurTremie
IM01_RDC_Salledesport;IM01;IM01_RDC;Salle de sport;RDC;10.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;13;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_RDC_Localtechnique;IM01;IM01_RDC;Local technique;RDC;0.0;13.25;5.0;11.75;5.0;11.75;3.0;58.75;100.5;58.75;1;14;1;1256.25;2922.81;643.31;4822.37;0;0;0;0.0;0.0
IM01_RDC_Bureaugardien;IM01;IM01_RDC;Bureau gardien;RDC;5.0;13.25;5.0;11.75;5.0;11.75;3.0;58.75;100.5;58.75;1;2;1;1256.25;2922.81;643.31;4822.37;0;0;0;0.0;0.0
IM01_RDC_Hall;IM01;IM01_RDC;Hall;RDC;10.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE1_Appart1;IM01;IM01_ETAGE1;Appart1;Etage 1;0.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE1_Appart2;IM01;IM01_ETAGE1;Appart2;Etage 1;10.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE1_Appart3;IM01;IM01_ETAGE1;Appart3;Etage 1;0.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE1_Appart4;IM01;IM01_ETAGE1;Appart4;Etage 1;10.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE2_Appart1;IM01;IM01_ETAGE2;Appart1;Etage 2;0.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE2_Appart2;IM01;IM01_ETAGE2;Appart2;Etage 2;10.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE2_Appart3;IM01;IM01_ETAGE2;Appart3;Etage 2;0.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE2_Appart4;IM01;IM01_ETAGE2;Appart4;Etage 2;10.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE3_Appart1;IM01;IM01_ETAGE3;Appart1;Etage 3;0.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE3_Appart2;IM01;IM01_ETAGE3;Appart2;Etage 3;10.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE3_Appart3;IM01;IM01_ETAGE3;Appart3;Etage 3;0.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE3_Appart4;IM01;IM01_ETAGE3;Appart4;Etage 3;10.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE4_Appart1;IM01;IM01_ETAGE4;Appart1;Etage 4;0.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE4_Appart2;IM01;IM01_ETAGE4;Appart2;Etage 4;10.0;0.0;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE4_Appart3;IM01;IM01_ETAGE4;Appart3;Etage 4;0.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE4_Appart4;IM01;IM01_ETAGE4;Appart4;Etage 4;10.0;13.25;10.0;11.75;10.0;11.75;3.0;117.5;130.5;117.5;1;3;1;1631.25;5845.62;1286.62;8763.49;0;0;0;0.0;0.0
IM01_ETAGE1APPART1_Salon;IM01;IM01_ETAGE1APPART1;Salon;Etage1_Appart1;0.0;0.0;5.0;5.0;5.0;5.0;3.0;25.0;56.91;25.0;1;10;1;711.38;1243.75;273.75;2228.88;1;1;0;0.0;0.0
IM01_ETAGE1APPART1_Cuisine;IM01;IM01_ETAGE1APPART1;Cuisine;Etage1_Appart1;5.0;0.0;5.0;3.0;5.0;3.0;3.0;15.0;46.8;15.0;1;13;1;585.0;746.25;164.25;1495.5;1;0;0;0.0;0.0
IM01_ETAGE1APPART1_Chambre;IM01;IM01_ETAGE1APPART1;Chambre;Etage1_Appart1;0.0;5.0;5.0;6.75;5.0;6.75;3.0;33.75;69.3;33.75;1;2;1;866.25;1679.06;369.56;2914.87;1;0;0;0.0;0.0
IM01_ETAGE1APPART1_Salledeau;IM01;IM01_ETAGE1APPART1;Salle d'eau;Etage1_Appart1;5.0;3.0;2.5;4.0;2.5;4.0;3.0;10.0;39.0;10.0;1;14;1;487.5;497.5;109.5;1094.5;0;0;0;0.0;0.0
IM01_ETAGE1APPART1_Entre;IM01;IM01_ETAGE1APPART1;Entrée;Etage1_Appart1;7.5;3.0;2.5;8.75;2.5;8.75;3.0;21.875;67.5;21.875;1;3;1;843.75;1088.28;239.53;2171.56;0;0;0;0.0;0.0
